Company: Organization Name,Company: Organization Permalink,Company: Industries,Company: Headquarters Location,Company: Description,Company: CB Rank (Organization),Company: Stage,Company: CB Rank (Company),Company: Founded Date,Company: Investor Type,Company: Investment Stage,Company: Number of Investments,Company: Number of Funding Rounds,Company: Funding Status,Company: Last Funding Type,Company: Total Funding Amount,Company: Last Funding Amount,Company: Number Of Investors,Company: Revenue Range,Organization Permalink,Organization Name,Announced Date,Transaction Name,Transaction Link,Number of Investors,Money Raised,Lead Investors
Cognigy,cognigy,"Artificial Intelligence (AI), Chatbot, Generative AI, Information Technology, IT Infrastructure, IT Management, SaaS, Sales Automation, Small and Medium Businesses, Software",Düsseldorf,Cognigy is an enterprise conversational AI platform designed to automate customer and employee support processes.,1368,late_stage_venture,1132,2016-01-01,,,,8,Raised,series_c,168964492,100000000,9,r_00001000,cognigy,Cognigy,"Jun 11, 2024",Series C - Cognigy,https://www.crunchbase.com/funding_round/cognigy-series-c--06657276,4,$100M,Eurazeo
Cognigy,cognigy,"Artificial Intelligence (AI), Chatbot, Generative AI, Information Technology, IT Infrastructure, IT Management, SaaS, Sales Automation, Small and Medium Businesses, Software",Düsseldorf,Cognigy is an enterprise conversational AI platform designed to automate customer and employee support processes.,1368,late_stage_venture,1132,2016-01-01,,,,8,Raised,series_c,168964492,100000000,9,r_00001000,cognigy,Cognigy,"Feb 17, 2022",Series B - Cognigy,https://www.crunchbase.com/funding_round/cognigy-series-b--bfe935cc,1,$15M,DTCP
Cognigy,cognigy,"Artificial Intelligence (AI), Chatbot, Generative AI, Information Technology, IT Infrastructure, IT Management, SaaS, Sales Automation, Small and Medium Businesses, Software",Düsseldorf,Cognigy is an enterprise conversational AI platform designed to automate customer and employee support processes.,1368,late_stage_venture,1132,2016-01-01,,,,8,Raised,series_c,168964492,100000000,9,r_00001000,cognigy,Cognigy,"Jun 1, 2021",Series B - Cognigy,https://www.crunchbase.com/funding_round/cognigy-series-b--d0170031,7,€36M,Insight Partners
Cognigy,cognigy,"Artificial Intelligence (AI), Chatbot, Generative AI, Information Technology, IT Infrastructure, IT Management, SaaS, Sales Automation, Small and Medium Businesses, Software",Düsseldorf,Cognigy is an enterprise conversational AI platform designed to automate customer and employee support processes.,1368,late_stage_venture,1132,2016-01-01,,,,8,Raised,series_c,168964492,100000000,9,r_00001000,cognigy,Cognigy,"Jan 27, 2021",Venture Round - Cognigy,https://www.crunchbase.com/funding_round/cognigy-series-unknown--968efd4f,1,—,Global Brain Corporation
Cognigy,cognigy,"Artificial Intelligence (AI), Chatbot, Generative AI, Information Technology, IT Infrastructure, IT Management, SaaS, Sales Automation, Small and Medium Businesses, Software",Düsseldorf,Cognigy is an enterprise conversational AI platform designed to automate customer and employee support processes.,1368,late_stage_venture,1132,2016-01-01,,,,8,Raised,series_c,168964492,100000000,9,r_00001000,cognigy,Cognigy,"Oct 16, 2020",Series A - Cognigy,https://www.crunchbase.com/funding_round/cognigy-series-a--18c8c1b6,1,€2M,Global Brain Corporation
Cognigy,cognigy,"Artificial Intelligence (AI), Chatbot, Generative AI, Information Technology, IT Infrastructure, IT Management, SaaS, Sales Automation, Small and Medium Businesses, Software",Düsseldorf,Cognigy is an enterprise conversational AI platform designed to automate customer and employee support processes.,1368,late_stage_venture,1132,2016-01-01,,,,8,Raised,series_c,168964492,100000000,9,r_00001000,cognigy,Cognigy,"Nov 26, 2019",Series A - Cognigy,https://www.crunchbase.com/funding_round/cognigy-series-a--327b805d,3,€5.5M,"DN Capital, Inventures, Nordic Makers"
Cognigy,cognigy,"Artificial Intelligence (AI), Chatbot, Generative AI, Information Technology, IT Infrastructure, IT Management, SaaS, Sales Automation, Small and Medium Businesses, Software",Düsseldorf,Cognigy is an enterprise conversational AI platform designed to automate customer and employee support processes.,1368,late_stage_venture,1132,2016-01-01,,,,8,Raised,series_c,168964492,100000000,9,r_00001000,cognigy,Cognigy,"Jun 7, 2017",Seed Round - Cognigy,https://www.crunchbase.com/funding_round/cognigy-seed--7718f1d0,,€1.4M,
Cognigy,cognigy,"Artificial Intelligence (AI), Chatbot, Generative AI, Information Technology, IT Infrastructure, IT Management, SaaS, Sales Automation, Small and Medium Businesses, Software",Düsseldorf,Cognigy is an enterprise conversational AI platform designed to automate customer and employee support processes.,1368,late_stage_venture,1132,2016-01-01,,,,8,Raised,series_c,168964492,100000000,9,r_00001000,cognigy,Cognigy,"Aug 11, 2016",Seed Round - Cognigy,https://www.crunchbase.com/funding_round/cognigy-seed--722f9ea6,,—,
Clinomic,clinomic,"Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Medical",Aachen,Medical AI company with a focus on critical care.,1615,early_stage_venture,1346,2019-01-14,,,,4,Raised,series_b,54567284,25213769,3,r_00001000,clinomic,Clinomic,"Apr 8, 2025",Series B - Clinomic,https://www.crunchbase.com/funding_round/clinomic-series-b--781f3e74,1,€23M,DeepTech & Climate Fonds
Clinomic,clinomic,"Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Medical",Aachen,Medical AI company with a focus on critical care.,1615,early_stage_venture,1346,2019-01-14,,,,4,Raised,series_b,54567284,25213769,3,r_00001000,clinomic,Clinomic,"Aug 22, 2023",Venture Round - Clinomic,https://www.crunchbase.com/funding_round/clinomic-series-unknown--4ba2141d,1,€16M,Sana Kliniken
