Round 1_Date,Round 1_Name,Round 1_InvestorsCount,Round 1_Sum,Round 1_LeadInvestors,Round 2_Date,Round 2_Name,Round 2_InvestorsCount,Round 2_Sum,Round 2_LeadInvestors,Round 3_Date,Round 3_Name,Round 3_InvestorsCount,Round 3_Sum,Round 3_LeadInvestors,Round 4_Date,Round 4_Name,Round 4_InvestorsCount,Round 4_Sum,Round 4_LeadInvestors,Round 5_Date,Round 5_Name,Round 5_InvestorsCount,Round 5_Sum,Round 5_LeadInvestors,Round 6_Date,Round 6_Name,Round 6_InvestorsCount,Round 6_Sum,Round 6_LeadInvestors,Round 7_Date,Round 7_Name,Round 7_InvestorsCount,Round 7_Sum,Round 7_LeadInvestors,Round 8_Date,Round 8_Name,Round 8_InvestorsCount,Round 8_Sum,Round 8_LeadInvestors,Round 9_Date,Round 9_Name,Round 9_InvestorsCount,Round 9_Sum,Round 9_LeadInvestors,Round 10_Date,Round 10_Name,Round 10_InvestorsCount,Round 10_Sum,Round 10_LeadInvestors
"Mar 12, 2020",Seed Round - n8n,10,$1.5M,"Firstminute Capital, Sequoia Capital","Apr 26, 2021",Series A - n8n,6,$12M,Felicis,"Nov 18, 2022",Convertible Note - n8n,1,$1.5M,Harpoon,"Feb 19, 2024",Series A - n8n,4,$5M,Felicis,"Mar 24, 2025",Series B - n8n,5,€55M,Highland Europe,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 9, 2021",Series A - Helsing,1,€102.5M,Prima Materia,"Sep 14, 2023",Series B - Helsing,3,€209M,General Catalyst,"Jul 11, 2024",Series C - Helsing,7,€450M,General Catalyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 19, 2010",Grant - Siemens,1,$8.9M,,"Mar 15, 2018",Post-IPO Equity - Siemens,,€4.2B,,"Sep 4, 2024",Post-IPO Debt - Siemens,5,€300M,,"Sep 17, 2024",Grant - Siemens,1,$1.5M,US Department of Energy,"Feb 20, 2025",Post-IPO Equity - Siemens,,$1.5B,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2009",Pre Seed Round - DeepL,1,—,b2venture,"Dec 1, 2010",Seed Round - DeepL,1,—,b2venture,"Dec 3, 2018",Series A - DeepL,2,—,Benchmark,"Jan 11, 2023",Venture Round - DeepL,9,$100M,IVP,"May 22, 2024",Venture Round - DeepL,6,$300M,Index Ventures,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 1, 2020",Non Equity Assistance - Aleph Alpha,1,—,Public,"Jan 27, 2021",Seed Round - Aleph Alpha,3,€5.3M,"468 Capital, LEA Partners","Jul 27, 2021",Series A - Aleph Alpha,6,€23M,"Earlybird Venture Capital, Lakestar, UVC Partners","Jul 18, 2023",Corporate Round - Aleph Alpha,2,—,,"Nov 6, 2023",Series B - Aleph Alpha,10,$500M,"Bosch Ventures, Innovation Park Artificial Intelligence, Schwarz Group","Nov 20, 2024",Secondary Market - Aleph Alpha,4,—,,,,,,,,,,,,,,,,,,,,,
"Aug 11, 2016",Seed Round - Cognigy,,—,,"Jun 7, 2017",Seed Round - Cognigy,,€1.4M,,"Nov 26, 2019",Series A - Cognigy,3,€5.5M,"DN Capital, Inventures, Nordic Makers","Oct 16, 2020",Series A - Cognigy,1,€2M,Global Brain Corporation,"Jan 27, 2021",Venture Round - Cognigy,1,—,Global Brain Corporation,"Jun 1, 2021",Series B - Cognigy,7,€36M,Insight Partners,"Feb 17, 2022",Series B - Cognigy,1,$15M,DTCP,"Jun 11, 2024",Series C - Cognigy,4,$100M,Eurazeo,,,,,,,,,,
"Jan 1, 2021",Seed Round - Clinomic,1,€3M,German Federal Ministry of Education and Research,"Mar 22, 2021",Venture Round - Clinomic,,€7M,,"Aug 22, 2023",Venture Round - Clinomic,1,€16M,Sana Kliniken,"Apr 8, 2025",Series B - Clinomic,1,€23M,DeepTech & Climate Fonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 7, 2016",Series A - Celonis,3,$27.5M,"83North, Accel","Jun 26, 2018",Series B - Celonis,2,$50M,"83North, Accel","Nov 21, 2019",Series C - Celonis,5,$290M,Arena Holdings,"Jun 2, 2021",Series D - Celonis,7,$1B,"Durable Capital Partners, T. Rowe Price","Aug 23, 2022",Series D - Celonis,13,$400M,Qatar Investment Authority,"Aug 23, 2022",Debt Financing - Celonis,13,$600M,KeyBanc Capital Markets,"Jul 15, 2023",Secondary Market - Celonis,1,—,,,,,,,,,,,,,,,,
"Aug 1, 2024",Seed Round - Black Forest Labs,8,€28M,Andreessen Horowitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 1, 2022",Angel Round - ai|coustics,,€245K,,"Mar 25, 2024",Pre Seed Round - ai|coustics,4,€1.7M,Connect Ventures,"Mar 25, 2025",Seed Round - ai|coustics,10,€5M,Partech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 1, 2021",Seed Round - bitsCrunch,6,$750K,Genblock Capital,"Jan 1, 2022",Seed Round - bitsCrunch,17,$3.6M,"Animoca Brands, Coinbase Ventures","Nov 30, 2023",Initial Coin Offering - bitsCrunch,1,$3.9M,CoinList,"Jan 23, 2024",Series A - bitsCrunch,7,$2.4M,"Cypher Capital, HashKey Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 25, 2024",Funding Round - Claro,1,€100K,,"Feb 14, 2025",Pre Seed Round - Claro,6,€650K,Atlas SGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 11, 2022",Seed Round - Black Semiconductor,4,€11.2M,,"Nov 14, 2022",Non Equity Assistance - Black Semiconductor,1,—,Intel Ignite,"Jun 12, 2024",Series A - Black Semiconductor,9,€25.7M,"Porsche Ventures, Project A Ventures","Jun 12, 2024",Grant - Black Semiconductor,1,€228.7M,Federal Government of Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 18, 2018",Seed Round - TWAICE,2,€1.2M,"Speedinvest, UVC Partners","May 29, 2019",Seed Round - TWAICE,4,€2M,Cherry Ventures,"Mar 25, 2020",Series A - TWAICE,5,€11M,"Cherry Ventures, Creandum","May 19, 2021",Series B - TWAICE,1,€21.3M,Energize Capital,"Apr 26, 2022",Series B - TWAICE,2,$30M,Coatue,"Apr 27, 2022",Series A - TWAICE,1,—,,,,,,,,,,,,,,,,,,,,,
"May 1, 2019",Seed Round - NEURA Robotics,,—,,"Jun 1, 2021",Venture Round - NEURA Robotics,,—,,"Jul 18, 2023",Series A - NEURA Robotics,4,€50M,"HV Capital, Lingotto, Primepulse, Vsquared Ventures","Oct 10, 2023",Series A - NEURA Robotics,1,€15M,InterAlpen Partners,"Jan 16, 2025",Series B - NEURA Robotics,10,€120M,Lingotto,,,,,,,,,,,,,,,,,,,,,,,,,
"May 16, 2022",Pre Seed Round - Circus Group,1,€1.4M,2bX,"Nov 24, 2022",Seed Round - Circus Group,6,€11M,BlackMars Capital,"Jul 17, 2023",Venture Round - Circus Group,2,€5.5M,BlackMars Capital,"Nov 29, 2023",Venture Round - Circus Group,,€9M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 24, 2023",Series A - Aily Labs,1,€19M,Insight Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 17, 2019",Pre Seed Round - Hawk,,,,"Oct 1, 2020",Seed Round - Hawk,1,,Picus Capital,"Jun 23, 2021",Series A - Hawk,2,,BlackFin Capital Partners,"Jan 26, 2023",Series B - Hawk,5,,Sands Capital Ventures,"Jun 10, 2024",Series B - Hawk,7,,"Macquarie Capital, Rabo Investments","Apr 8, 2025",Series C - Hawk,8,,One Peak,,,,,,,,,,,,,,,,,,,,
"May 12, 2022",Seed Round - Parloa,5,,,"Mar 30, 2023",Series A - Parloa,10,,EQT Ventures,"Apr 24, 2024",Series B - Parloa,6,,Altimeter Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 26, 2021",Angel Round - amberSearch,2,,,"Sep 16, 2021",Non Equity Assistance - amberSearch,1,,,"Mar 24, 2025",Seed Round - amberSearch,1,,Ventech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 28, 2021",Angel Round - Meshcapade,4,,,"Jun 14, 2023",Seed Round - Meshcapade,7,,Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 21, 2022",Seed Round - Kaiko Systems,6,,,"Mar 19, 2025",Series A - Kaiko Systems,3,,"Flashpoint, Hi Inov - Dentressangle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 1, 2019",Pre Seed Round - Apheris,2,,,"Aug 20, 2020",Seed Round - Apheris,8,,LocalGlobe,"Apr 19, 2021",Non Equity Assistance - Apheris,1,,Intel Ignite,"Nov 7, 2022",Seed Round - Apheris,8,,Octopus Ventures,"Jan 2, 2025",Series A - Apheris,4,,"eCapital, OTB Ventures",,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 18, 2024",Pre Seed Round - PULSETRAIN,,,,"Mar 19, 2025",Seed Round - PULSETRAIN,3,,"Planet A Ventures, Vsquared Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 31, 2021",Pre Seed Round - specter automation,,,,"Jan 31, 2023",Seed Round - specter automation,4,,TechVision Fund,"Mar 26, 2025",Seed Round - specter automation,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 15, 2016",Seed Round - HeyJobs,3,,Heartcore Capital,"May 8, 2019",Series A - HeyJobs,4,,Notion Capital,"Mar 24, 2022",Series B - HeyJobs,5,,Yttrium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 27, 2025",Pre Seed Round - experial,3,,Capnamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 1, 2023",Pre Seed Round - SynthFlow AI,2,,Atlantic Labs,"Jun 26, 2024",Seed Round - SynthFlow AI,2,,Singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 3, 2019",Seed Round - Agile Robots AG,4,,"Hillhouse Investment, HSG","Apr 2, 2020",Series A - Agile Robots AG,3,,C Ventures,"Jan 27, 2021",Series B - Agile Robots AG,6,,,"Sep 9, 2021",Series C - Agile Robots AG,9,,SoftBank Vision Fund,"Apr 18, 2022",Venture Round - Agile Robots AG,1,,Foxconn Industrial Internet,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 8, 2023",Seed Round - Sereact,10,,"Air Street Capital, Point Nine","Jan 20, 2025",Series A - Sereact,10,,Creandum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 10, 2023",Pre Seed Round - bliro,1,,,"Feb 20, 2025",Seed Round - bliro,3,,"468 Capital, LEA Partners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 1, 2024",Pre Seed Round - Differential Bio,6,,"Ananda Impact Ventures, ReGen Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 5, 2023",Grant - CinSOIL,1,,,"Sep 15, 2023",Non Equity Assistance - CinSOIL,1,,,"Oct 10, 2023",Grant - CinSOIL,1,,,"Oct 21, 2024",Grant - CinSOIL,1,,,"Apr 3, 2025",Grant - CinSOIL,1,,Federal Government of Germany,"Apr 3, 2025",Pre Seed Round - CinSOIL,,,,,,,,,,,,,,,,,,,,,,,
"Nov 1, 2018",Seed Round - Vara,1,,Merantix Capital,"Jan 1, 2019",Seed Round - Vara,,,,"Jun 2, 2020",Series A - Vara,5,,OMERS Ventures,"Jul 8, 2022",Series A - Vara,1,,,"Oct 25, 2022",Series A - Vara,6,,"EQT, VI Partners","Jan 1, 2024",Venture Round - Vara,3,,"FJH, IBB Ventures, Smart Family Office",,,,,,,,,,,,,,,,,,,,
"Oct 1, 2019",Seed Round - Mindpeak,6,,IFB Innovationsstarter,"Mar 20, 2020",Grant - Mindpeak,1,,European Innovation Council,"Sep 30, 2024",Series A - Mindpeak,4,,"IFB Innovationsstarter, ZEISS Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 13, 2019",Seed Round - LiveEO,1,,DvH Ventures,"Mar 10, 2020",Non Equity Assistance - LiveEO,1,,SAP.iO,"Apr 1, 2020",Grant - LiveEO,,,,"Sep 4, 2020",Seed Round - LiveEO,2,,DvH Ventures,"Apr 6, 2021",Series A - LiveEO,5,,"Helen Ventures, Matterwave Ventures","Aug 5, 2022",Series A - LiveEO,9,,MMC Ventures,"Nov 28, 2023",Venture Round - LiveEO,1,,Greencode Ventures,"Jun 25, 2024",Series B - LiveEO,9,,"DeepTech & Climate Fonds, NordicNinja VC","Feb 17, 2025",Venture Round - LiveEO,1,,EIC Accelerator,,,,,
"May 1, 2023",Series A - osapiens,1,,Armira,"Jul 29, 2024",Series B - osapiens,2,,Goldman Sachs Alternatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 21, 2013",Venture Round - Simpleshow,,,,"Nov 30, 2014",Non Equity Assistance - Simpleshow,1,,VentureOut,"Jan 6, 2016",Venture Round - Simpleshow,,,,"Oct 23, 2017",Venture Round - Simpleshow,1,,BIP Investment Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 21, 2022",Pre Seed Round - Cello,4,,byFounders,"Jul 20, 2023",Seed Round - Cello,6,,HV Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 1, 2017",Convertible Note - Brighter AI,1,,,"Apr 1, 2018",Angel Round - Brighter AI,1,,,"Apr 24, 2018",Grant - Brighter AI,1,,,"Jul 29, 2019",Venture Round - Brighter AI,2,,eCAPITAL ENTREPRENEURIAL PARTNERS,"Jun 30, 2022",Series A - Brighter AI,3,,Armilar Venture Partners,"Feb 7, 2023",Venture Round - Brighter AI,1,,Deutsche Bahn Digital Ventures,,,,,,,,,,,,,,,,,,,,
"Sep 6, 2023",Pre Seed Round - Langdock,1,,Y Combinator,"Apr 19, 2024",Seed Round - Langdock,7,,General Catalyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 20, 2018",Pre Seed Round - CELUS,,,,"Feb 21, 2020",Seed Round - CELUS,2,,Speedinvest,"Apr 19, 2021",Non Equity Assistance - CELUS,1,,Intel Ignite,"Jul 1, 2021",Convertible Note - CELUS,1,,,"Jul 6, 2022",Series A - CELUS,11,,Earlybird Venture Capital,,,,,,,,,,,,,,,,,,,,,,,,,
"May 1, 2019",Seed Round - Solsten,1,,,"Oct 29, 2020",Series A - Solsten,1,,,"Feb 1, 2021",Seed Round - Solsten,1,,,"Jun 30, 2021",Series A - Solsten,2,,Inventure,"Aug 18, 2022",Series B - Solsten,9,,Konvoy,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 1, 2023",Pre Seed Round - Libra,1,,Merantix Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 1, 2021",Pre Seed Round - tl;dv,3,,,"Jun 16, 2022",Seed Round - tl;dv,6,,K Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 18, 2018",Pre Seed Round - Aignostics,,,,"Apr 4, 2019",Pre Seed Round - Aignostics,,,,"Aug 28, 2020",Seed Round - Aignostics,4,,Boehringer Ingelheim Venture Fund,"Sep 15, 2022",Series A - Aignostics,5,,Wellington Partners,"Oct 29, 2024",Series B - Aignostics,7,,ATHOS,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 5, 2018",Seed Round - scoutbee,3,,,"Jun 11, 2019",Series A - scoutbee,3,,,"Jan 20, 2020",Series B - scoutbee,6,,Atomico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 1, 2020",Seed Round - SPREAD AI,5,,NAP,"Feb 15, 2021",Seed Round - SPREAD AI,1,,Sebastian Borek,"Apr 29, 2021",Seed Round - SPREAD AI,1,,Till Reuter,"May 3, 2023",Series A - SPREAD AI,5,,HV Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 26, 2023",Seed Round - ecoplanet,3,,HV Capital,"Jan 20, 2025",Series A - ecoplanet,2,,EQT Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 1, 2018",Seed Round - German Bionic,4,,,"Dec 14, 2020",Series A - German Bionic,5,,"MIG Capital, Samsung Catalyst Fund","Sep 1, 2022",Series A - German Bionic,2,,,"Dec 21, 2022",Debt Financing - German Bionic,1,,European Investment Bank,"Dec 11, 2023",Series A - German Bionic,7,,Mubea,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 18, 2017",Seed Round - Nect,2,,DvH Ventures,"Apr 29, 2020",Series A - Nect,2,,Alstin Capital,"Mar 25, 2025",Venture Round - Nect,1,,Round2 Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 26, 2023",Seed Round - Hema.to,3,,,"Feb 27, 2025",Seed Round - Hema.to,9,,LUMO labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 7, 2023",Seed Round - Langfuse,3,,"La Famiglia, Lightspeed Venture Partners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2019",Grant - Orbem,,,,"Apr 1, 2021",Pre Seed Round - Orbem,,,,"Oct 1, 2021",Grant - Orbem,1,,European Innovation Council,"Oct 1, 2022",Seed Round - Orbem,2,,The Venture Collective,"Oct 11, 2023",Series A - Orbem,15,,83North,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 24, 2021",Pre Seed Round - OCELL,7,,,"May 9, 2023",Seed Round - OCELL,5,,AENU,"Jan 29, 2025",Series A - OCELL,5,,Capnamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 1, 2017",Angel Round - Ultimate,,,,"Sep 12, 2017",Seed Round - Ultimate,1,,Techstars,"Sep 18, 2018",Seed Round - Ultimate,2,,"HV Capital, Maki.vc","Sep 20, 2019",Grant - Ultimate,1,,European Innovation Council,"Nov 4, 2019",Seed Round - Ultimate,4,,"HV Capital, Maki.vc","Dec 3, 2020",Series A - Ultimate,5,,OMERS Ventures,"Nov 1, 2022",Non Equity Assistance - Ultimate,1,,VentureOut,,,,,,,,,,,,,,,
"Apr 10, 2025",Seed Round - Rematiq,5,,Project A Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 17, 2021",Seed Round - paretos,1,,LEA Partners,"Nov 19, 2021",Non Equity Assistance - paretos,1,,Intel Ignite,"Sep 20, 2022",Seed Round - paretos,4,,UVC Partners,"Oct 28, 2024",Series A - paretos,5,,Acton Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 24, 2021",Seed Round - deepc,1,,Initiative for Industrial Innovators,"Aug 1, 2022",Non Equity Assistance - deepc,1,,,"Mar 28, 2023",Series A - deepc,3,,Sofinnova Partners,"Jul 25, 2024",Series A - deepc,5,,"Bertelsmann Investments, Sofinnova Partners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 19, 2025",Seed Round - Cortea,6,,Cherry Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 1, 2014",Seed Round - KINEXON,1,,,"Jan 1, 2016",Venture Round - KINEXON,1,,,"Nov 16, 2020",Debt Financing - KINEXON,1,,European Investment Bank,"Apr 26, 2022",Series A - KINEXON,3,,THL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apr 1, 2022",Non Equity Assistance - Artificient Mobility Intelligence,2,,,"Feb 1, 2023",Pre Seed Round - Artificient Mobility Intelligence,,,,"Jun 9, 2023",Pre Seed Round - Artificient Mobility Intelligence,3,,"APX, Lifetime Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 25, 2021",Pre Seed Round - Floy,2,,10x Founders,"Jul 12, 2022",Convertible Note - Floy,2,,10x Founders,"Nov 16, 2023",Seed Round - Floy,5,,HV Capital,"Feb 14, 2025",Seed Round - Floy,5,,"Acurio Ventures, HV Capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May 8, 2023",Non Equity Assistance - SEMRON,1,,,"Nov 6, 2023",Non Equity Assistance - SEMRON,1,,Intel Ignite,"Jan 30, 2024",Seed Round - SEMRON,11,,Join Capital,"Feb 18, 2025",Seed Round - SEMRON,1,,EIC Accelerator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 1, 2018",Seed Round - Hypatos,3,,,"Sep 3, 2020",Seed Round - Hypatos,4,,"BlackFin Capital Partners, Grazia Equity, UVC Partners","Jan 11, 2022",Series A - Hypatos,5,,DN Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 23, 2024",Pre Seed Round - Mixedbread,4,,,"Feb 10, 2025",Seed Round - Mixedbread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 5, 2025",Pre Seed Round - Prior Labs,14,,Balderton Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 31, 2018",Seed Round - Merantix Capital,3,,Linden Capital,"Jan 27, 2020",Series A - Merantix Capital,2,,"The Robert Wood Johnson Foundation, The W.K. Kellogg Foundation","Sep 1, 2021",Seed Round - Merantix Capital,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 1, 2018",Seed Round - Akeso,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 23, 2023",Pre Seed Round - Insight Hero,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 15, 2017",Non Equity Assistance - StudySmarter,1,,Axel Springer Plug and Play Accelerator,"Dec 17, 2018",Pre Seed Round - StudySmarter,3,,,"Apr 1, 2020",Seed Round - StudySmarter,1,,DvH Ventures,"May 5, 2021",Series A - StudySmarter,5,,"Goodwater Capital, Left Lane Capital, Owl Ventures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 4, 2024",Pre Seed Round - Plato,18,,Cherry Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 1, 2016",Pre Seed Round - Finanzguru,1,,,"Nov 2, 2017",Pre Seed Round - Finanzguru,1,,,"Apr 1, 2018",Pre Seed Round - Finanzguru,1,,,"Aug 7, 2019",Seed Round - Finanzguru,4,,,"Jan 11, 2022",Series A - Finanzguru,4,,"Redstone.VC, VR Ventures","Apr 4, 2023",Series B - Finanzguru,9,,"PayPal Ventures, SCOR Ventures",,,,,,,,,,,,,,,,,,,,
"Nov 18, 2024",Seed Round - juna.ai,4,,Kleiner Perkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 1, 2009",Venture Round - Acrolinx,1,,ViewPoint Capital Partners,"Dec 22, 2014",Debt Financing - Acrolinx,1,,,"Jul 24, 2017",Private Equity Round - Acrolinx,1,,,"May 11, 2022",Private Equity Round - Acrolinx,1,,EMH Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 17, 2016",Seed Round - omni:us,6,,Investitionsbank Berlin,"Oct 30, 2017",Series A - omni:us,1,,,"Mar 20, 2018",Seed Round - omni:us,3,,,"Oct 30, 2018",Series A - omni:us,4,,"MMC Ventures, Talis Capital, Target Global","Jan 1, 2019",Grant - omni:us,1,,,"Oct 3, 2019",Grant - omni:us,1,,European Innovation Council,"Feb 27, 2020",Series A - omni:us,3,,"CommerzVentures, Viola FinTech","Nov 15, 2022",Series A - omni:us,1,,,,,,,,,,,,
"Apr 5, 2022",Pre Seed Round - Frontnow,2,,,"May 15, 2023",Seed Round - Frontnow,1,,,"Mar 12, 2024",Seed Round - Frontnow,3,,Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 1, 2015",Angel Round - Micropsi Industries,3,,,"Jan 8, 2016",Grant - Micropsi Industries,,,,"Oct 1, 2016",Seed Round - Micropsi Industries,1,,,"Jun 27, 2017",Seed Round - Micropsi Industries,3,,Vito Ventures,"Oct 30, 2018",Series A - Micropsi Industries,4,,Project A Ventures,"Jun 18, 2020",Series A - Micropsi Industries,5,,M Ventures,"Feb 8, 2022",Series B - Micropsi Industries,6,,"Ahren Innovation Capital, Metaplanet, Vsquared Ventures",,,,,,,,,,,,,,,
"Oct 25, 2018",Pre Seed Round - Flank,,,,"Jun 19, 2019",Seed Round - Flank,2,,HV Capital,"Jan 1, 2020",Non Equity Assistance - Flank,1,,Google for Startups,"Oct 1, 2021",Pre Seed Round - Flank,1,,,"Jan 14, 2022",Seed Round - Flank,4,,Gradient,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 25, 2020",Seed Round - BlinkIN,1,,NetApp Excellerator,"Oct 21, 2022",Grant - BlinkIN,1,,European Innovation Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 2, 2022",Pre Seed Round - Exazyme,1,,,"May 15, 2023",Seed Round - Exazyme,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 1, 2022",Pre Seed Round - Deltia,2,,Merantix Capital,"Apr 26, 2024",Seed Round - Deltia,11,,NAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 19, 2023",Debt Financing - Phrase,1,,CIBC Innovation Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 6, 2024",Pre Seed Round - Diligent,1,,Y Combinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan 1, 2023",Grant - ExoMatter,4,,,"Dec 6, 2023",Angel Round - ExoMatter,2,,,"Oct 24, 2024",Pre Seed Round - ExoMatter,5,,Vanagon Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 19, 2020",Pre Seed Round - ONVY HealthTech,,,,"Feb 1, 2022",Seed Round - ONVY HealthTech,1,,,"Jul 1, 2022",Convertible Note - ONVY HealthTech,1,,,"Mar 20, 2023",Angel Round - ONVY HealthTech,1,,,"Aug 9, 2023",Seed Round - ONVY HealthTech,1,,Isartal Ventures,"Apr 8, 2024",Seed Round - ONVY HealthTech,1,,Voloridge,,,,,,,,,,,,,,,,,,,,
"May 10, 2022",Pre Seed Round - Kertos,9,,10x Founders,"May 4, 2023",Seed Round - Kertos,8,,Redstone.VC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 26, 2021",Pre Seed Round - VoiceLine,4,,NAP,"Aug 13, 2024",Seed Round - VoiceLine,24,,"SCALEHOUSE Capital, Venture Stars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 15, 2015",Seed Round - Vernaio,1,,Swiss corporate,"Feb 1, 2019",Series A - Vernaio,1,,Voith,"Apr 16, 2020",Series A - Vernaio,1,,Voith,"May 3, 2022",Series A - Vernaio,1,,PricewaterhouseCoopers GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
