Round 1_Date,Round 1_Name,Round 1_InvestorsCount,Round 1_Sum,Round 1_LeadInvestors,Round 2_Date,Round 2_Name,Round 2_InvestorsCount,Round 2_Sum,Round 2_LeadInvestors,Round 3_Date,Round 3_Name,Round 3_InvestorsCount,Round 3_Sum,Round 3_LeadInvestors,Round 4_Date,Round 4_Name,Round 4_InvestorsCount,Round 4_Sum,Round 4_LeadInvestors,Round 5_Date,Round 5_Name,Round 5_InvestorsCount,Round 5_Sum,Round 5_LeadInvestors,Round 6_Date,Round 6_Name,Round 6_InvestorsCount,Round 6_Sum,Round 6_LeadInvestors,Round 7_Date,Round 7_Name,Round 7_InvestorsCount,Round 7_Sum,Round 7_LeadInvestors,Round 8_Date,Round 8_Name,Round 8_InvestorsCount,Round 8_Sum,Round 8_LeadInvestors,Round 9_Date,Round 9_Name,Round 9_InvestorsCount,Round 9_Sum,Round 9_LeadInvestors,Round 10_Date,Round 10_Name,Round 10_InvestorsCount,Round 10_Sum,Round 10_LeadInvestors
"Jun 22, 2023",Pre Seed Round - Flowsight,4,$1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 2, 2023",Convertible Note - CREX Capital,1,—,,"May 15, 2023",Pre Seed Round - CREX Capital,1,€100K,Startup Wise Guys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 16, 2023",Pre Seed Round - CERPRO,1,$20K,Techstars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 1, 2023",Pre Seed Round - PnPAI,1,$50K,Plug and Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 21, 2017",Seed Round - Basking.io,1,—,,"Sep 10, 2018",Seed Round - Basking.io,1,$120K,Techstars,"Aug 12, 2021",Seed Round - Basking.io,3,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 16, 2019",Pre Seed Round - musicube,,$59K,,"Jul 1, 2020",Pre Seed Round - musicube,2,$123K,nextMedia.Hamburg,"Dec 19, 2020",Pre Seed Round - musicube,1,$177K,,"Sep 13, 2021",Seed Round - musicube,2,$560K,Holger Hübner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 1, 2017",Seed Round - Sizolution,1,$200K,The Untitled Venture Company,"Jul 1, 2018",Seed Round - Sizolution,1,—,Ivan Bannikov,"Sep 17, 2019",Seed Round - Sizolution,1,€400K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 18, 2019",Pre Seed Round - CST,2,€400K,L-Bank,"Jan 13, 2022",Series A - CST,1,€600K,MBG Baden Wuerttemberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 19, 2022",Pre Seed Round - Modoplus,,€550K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 2, 2023",Pre Seed Round - Matthias Anderer GmbH,,$500K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 10, 2021",Pre Seed Round - Arttac Solutions,,€150K,,"Feb 1, 2022",Seed Round - Arttac Solutions,,€150K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 23, 2021",Seed Round - Laya Technologies,,€4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 10, 2022",Pre Seed Round - LifeTap,,,,"Apr 5, 2022",Pre Seed Round - LifeTap,1,,Techstars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 1, 2021",Grant - DriotData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nov 23, 2016",Seed Round - The SaaS Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 3, 2015",Seed Round - Autumn AI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
